Partido;Fecha;Rival;Jugador;Puntos;Rebotes;Asistencias
1;1/7/2026;Independiente;Juan;15;8;5
1;1/7/2026;Independiente;Gaston;22;10;6
1;1/7/2026;Independiente;Ezequiel;25;7;4
1;1/7/2026;Independiente;Elian;10;8;5
1;1/7/2026;Independiente;Feliciano;6;4;2
2;8/7/2026;Estudiantes;Juan;18;7;4
2;8/7/2026;Estudiantes;Gaston;17;11;7
2;8/7/2026;Estudiantes;Ezequiel;21;6;5
2;8/7/2026;Estudiantes;Elian;14;9;3
2;8/7/2026;Estudiantes;Feliciano;9;5;3
3;15/7/2026;Racing;Juan;12;6;7
3;15/7/2026;Racing;Gaston;24;9;5
3;15/7/2026;Racing;Ezequiel;19;8;6
3;15/7/2026;Racing;Elian;16;7;4
3;15/7/2026;Racing;Feliciano;8;6;2
4;22/7/2026;Alumni;Juan;20;9;6
4;22/7/2026;Alumni;Gaston;19;12;8
4;22/7/2026;Alumni;Ezequiel;28;7;5
4;22/7/2026;Alumni;Elian;11;10;4
4;22/7/2026;Alumni;Feliciano;10;5;3
5;29/7/2026;Kimberley;Juan;17;8;8
5;29/7/2026;Kimberley;Gaston;26;10;7
5;29/7/2026;Kimberley;Ezequiel;23;9;6
5;29/7/2026;Kimberley;Elian;15;8;5
5;29/7/2026;Kimberley;Feliciano;12;7;4
